##NAMES=Blatonite
##RRUFFID=R060594
##IDEAL CHEMISTRY=UO_2_CO_3_&#183;H_2_O
##LOCALITY=Jomac mine, San Juan County, Utah, USA
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Yellow acicular crystals. No diffraction spots, just some streaks
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R060594
744.417, 37.971
744.900, 14.455
745.382, 11.557
745.864, 43.488
746.346, 68.539
746.828, 58.656
747.310, 8.605
747.792, 16.781
748.274, 51.289
748.757, 129.135
749.239, 153.320
749.721, 93.119
750.203, 52.273
750.685, 46.043
751.167, 39.891
751.649, 13.104
752.131, 113.295
752.614, 149.605
753.096, 99.365
753.578, 31.076
754.060, 30.461
754.542, 70.244
755.024, 102.256
755.506, 124.807
755.988, 115.408
756.471, 24.850
756.953, 93.676
757.435, 160.072
757.917, 108.994
758.399, 78.260
758.881, 94.031
759.363, 127.674
759.845, 110.221
760.327, 35.316
760.810, 8.523
761.292, 19.006
761.774, 76.953
762.256, 84.641
762.738, 59.023
763.220, 51.094
763.702, 115.176
764.184, 179.127
764.666, 185.762
765.148, 149.344
765.631, 142.518
766.113, 197.281
766.595, 257.562
767.077, 312.803
767.559, 361.770
768.041, 383.645
768.523, 371.680
769.005, 373.008
769.487, 431.916
769.970, 518.877
770.452, 553.598
770.934, 541.137
771.416, 544.154
771.898, 630.100
772.380, 728.145
772.862, 779.254
773.344, 770.926
773.827, 777.100
774.309, 825.990
774.791, 875.092
775.273, 894.318
775.755, 874.416
776.237, 886.654
776.719, 900.801
777.201, 1056.928
777.683, 1178.623
778.166, 1267.754
778.648, 1226.672
779.130, 1353.447
779.612, 1410.551
780.094, 1467.426
780.576, 1618.324
781.058, 1658.889
781.541, 1699.424
782.023, 1764.793
782.505, 1868.170
782.987, 1987.256
783.469, 2108.924
783.951, 2234.900
784.433, 2330.229
784.915, 2384.463
785.397, 2438.271
785.880, 2548.000
786.362, 2695.678
786.844, 2842.504
787.326, 2983.428
787.808, 3115.227
788.290, 3221.117
788.772, 3316.559
789.254, 3426.699
789.737, 3561.678
790.219, 3714.551
790.701, 3896.676
791.183, 4088.785
791.665, 4253.688
792.147, 4389.883
792.629, 4531.322
793.111, 4689.539
793.593, 4851.273
794.076, 4974.998
794.558, 5082.934
795.040, 5228.660
795.522, 5464.846
796.004, 5712.195
796.486, 5955.000
796.968, 6177.832
797.450, 6340.553
797.932, 6381.633
798.415, 6468.547
798.897, 6631.594
799.379, 6848.660
799.861, 7096.422
800.343, 7375.693
800.825, 7611.670
801.307, 7756.338
801.789, 7863.211
802.271, 8010.176
802.754, 8184.732
803.236, 8352.125
803.718, 8502.027
804.200, 8631.797
804.682, 8727.107
805.164, 8798.180
805.646, 8896.135
806.128, 9044.752
806.610, 9171.217
