##NAMES=Cuprite
##RRUFFID=R140763
##IDEAL CHEMISTRY=Cu^1+^_2_O
##LOCALITY=Milpillas mine, Municipio de Santa Cruz, Sonora, Mexico
##OWNER=RRUFF
##SOURCE=Marcus Origlieri
##DESCRIPTION=Semimetallic deep red, massive
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction.
##URL=rruff.info/R140763
550.6868, 2.379700
551.1689, 2.505920
551.6510, 1.168762
552.1331, 1.242981
552.6152, 2.082886
553.0974, 1.168213
553.5795, 0.4390260
554.0616, 2.537659
554.5437, 4.899048
555.0258, 6.058350
555.5079, 5.873657
555.9901, 5.035217
556.4722, 4.040833
556.9543, 2.963379
557.4364, 1.908386
557.9185, 0.7255250
558.4006, 0.1328130
558.8828, 1.4832000E-02
559.3649, 0.6911010
559.8470, 1.111938
560.3291, 0.4229740
560.8112, 0.2232060
561.2933, 0.2546390
561.7755, 0.3492430
562.2576, 0.8911130
562.7397, 1.355591
563.2218, 1.635986
563.7039, 1.676147
564.1860, 1.441040
564.6682, 1.046387
565.1503, 0.3887330
565.6324, 0.2822880
566.1145, 0.6461790
566.5966, 0.6727290
567.0787, 0.5045170
567.5609, 4.3517999E-02
568.0430, 0.4564210
568.5251, 0.1787720
569.0072, 0.7413940
569.4893, 1.309631
569.9714, 0.7570190
570.4536, 0.3762210
570.9357, 1.468018
571.4178, 2.474915
571.8999, 3.186951
572.3820, 3.264709
572.8641, 3.067444
573.3463, 2.847290
573.8284, 2.553650
574.3105, 2.533386
574.7926, 3.064026
575.2747, 3.846375
575.7568, 4.502075
576.2390, 4.963318
576.7211, 5.372253
577.2032, 5.795776
577.6853, 6.176208
578.1674, 6.128784
578.6495, 5.314514
579.1317, 5.116028
579.6138, 6.515503
580.0959, 9.197693
580.5780, 10.32922
581.0601, 9.818054
581.5422, 9.002075
582.0244, 9.162231
582.5065, 9.881042
582.9886, 9.962646
583.4707, 9.136780
583.9528, 8.408875
584.4349, 8.871216
584.9171, 9.958313
585.3992, 10.83032
585.8813, 10.84009
586.3634, 10.96588
586.8455, 11.98486
587.3276, 13.46082
587.8098, 14.12140
588.2919, 12.39722
588.7740, 11.17175
589.2561, 11.73828
589.7382, 14.15381
590.2203, 14.72138
590.7025, 12.48486
591.1846, 10.08643
591.6667, 9.245300
592.1488, 10.04858
592.6309, 11.23254
593.1130, 12.82581
593.5952, 14.44543
594.0773, 15.84015
594.5594, 16.96246
595.0415, 17.42383
595.5236, 17.05280
596.0057, 16.31183
596.4879, 15.14032
596.9700, 13.88843
597.4521, 13.60016
597.9342, 15.94135
598.4163, 18.33228
598.8984, 19.18207
599.3806, 18.57953
599.8627, 18.17010
600.3448, 18.06958
600.8269, 18.46692
601.3090, 19.55670
601.7911, 21.60199
602.2733, 23.26910
602.7554, 24.38300
603.2375, 25.35724
603.7196, 26.62891
604.2017, 28.28589
604.6838, 29.34662
605.1660, 29.48389
605.6481, 29.61829
606.1302, 31.58282
606.6123, 34.92346
607.0944, 37.51660
607.5765, 37.98346
608.0587, 37.93945
608.5408, 39.46582
609.0229, 42.15082
609.5050, 44.62280
609.9871, 45.60168
610.4692, 46.43408
610.9514, 48.16040
611.4335, 50.96161
611.9156, 53.32471
612.3977, 54.51440
612.8798, 55.49573
613.3619, 56.80750
613.8441, 58.67584
614.3262, 60.34692
614.8083, 61.58813
615.2904, 62.97400
615.7725, 65.31622
616.2546, 68.65039
616.7368, 71.99200
617.2189, 75.41272
617.7010, 78.42749
618.1831, 79.96088
618.6652, 80.24420
619.1473, 80.30853
619.6295, 79.57745
620.1116, 79.61517
620.5937, 83.24652
621.0758, 89.55127
621.5579, 94.08655
622.0400, 93.32916
622.5222, 91.08533
623.0043, 89.37396
623.4864, 88.45099
623.9685, 87.56250
624.4506, 86.33032
624.9327, 85.39691
625.4149, 85.31519
625.8970, 86.52338
626.3791, 87.18524
626.8612, 87.03387
627.3433, 86.49207
627.8254, 86.23248
628.3076, 86.26990
628.7897, 86.16351
629.2718, 85.83539
629.7539, 85.24652
630.2360, 84.17383
630.7181, 82.76538
631.2003, 81.49237
631.6824, 81.02850
632.1645, 80.45312
632.6466, 78.65216
633.1287, 75.89520
633.6108, 73.97369
634.0930, 74.60950
634.5751, 75.25702
635.0572, 74.47296
635.5393, 71.80621
636.0214, 69.83563
636.5035, 69.02887
636.9857, 68.31201
637.4678, 66.69287
637.9499, 63.99713
638.4320, 62.17761
638.9141, 61.32642
