##NAMES=Sahamalite-(Ce)
##RRUFFID=R080043
##IDEAL CHEMISTRY=Ce_2_Mg(CO_3_)_4_
##LOCALITY=Mountain Pass Mine (Sulfide Queen mine; Bastnaesite deposit; Mountain Pass carbonatite), Ivanpah, Mountain Pass District, San Bernardino County, California, USA
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Dull white, semitransparent flat crystal associated with dolomite.
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R080043
555.4853, 2.096731
555.9674, 2.095385
556.4495, 2.015234
556.9316, 1.690771
557.4138, 1.474138
557.8959, 1.521132
558.3780, 1.685173
558.8601, 1.791170
559.3422, 1.787697
559.8243, 1.745913
560.3065, 1.755913
560.7886, 1.811686
561.2707, 1.803680
561.7528, 1.692266
562.2349, 1.587549
562.7170, 1.565041
563.1992, 1.591995
563.6813, 1.623276
564.1634, 1.653942
564.6455, 1.682846
565.1276, 1.737753
565.6097, 1.783888
566.0919, 1.727337
566.5740, 1.550631
567.0561, 1.380581
567.5382, 1.332710
568.0203, 1.400921
568.5024, 1.439484
568.9846, 1.466200
569.4667, 1.445829
569.9488, 1.308718
570.4309, 1.153910
570.9130, 1.088835
571.3951, 1.132193
571.8773, 1.236601
572.3594, 1.378916
572.8415, 1.549868
573.3236, 1.591646
573.8057, 1.436895
574.2878, 1.271885
574.7700, 1.143509
575.2521, 1.041739
575.7342, 0.9651010
576.2163, 0.9134330
576.6984, 0.8660130
577.1805, 0.8018530
577.6627, 0.7338450
578.1448, 0.6982610
578.6269, 0.7000050
579.1090, 0.6878030
579.5911, 0.6360630
580.0732, 0.5467010
580.5554, 0.4091320
581.0375, 0.1455460
581.5196, 1.6990000E-03
582.0017, 0.1115930
582.4838, 0.2999460
582.9659, 0.4225200
583.4481, 0.4685520
583.9302, 0.4912400
584.4123, 0.5310670
584.8944, 0.5667250
585.3765, 0.5090140
585.8586, 0.2856480
586.3408, 0.1203080
586.8229, 5.9611998E-02
587.3050, 4.4948999E-02
587.7871, 6.3913003E-02
588.2692, 0.1009480
588.7513, 0.1136570
589.2334, 5.5750001E-02
589.7155, 1.8681999E-02
590.1976, 1.5575000E-02
590.6797, 0.1545660
591.1619, 0.1785130
591.6440, 3.8609002E-02
592.1261, 0.3082680
592.6082, 0.3719750
593.0903, 0.2339290
593.5724, 8.7957002E-02
594.0546, 0.1257900
594.5367, 0.2595880
595.0188, 0.1510960
595.5009, 9.8457001E-02
595.9830, 0.2843700
596.4651, 0.3272670
596.9473, 0.2530670
597.4294, 7.8723997E-02
597.9115, 0.2412030
598.3936, 0.4476870
598.8757, 0.3945600
599.3578, 0.3698980
599.8400, 0.5096800
600.3221, 0.7092190
600.8042, 0.8047330
601.2863, 0.7402710
601.7684, 0.6262000
602.2505, 0.5380330
602.7327, 0.4901500
603.2148, 0.5704750
603.6969, 0.8163380
604.1790, 1.082460
604.6611, 1.277098
605.1432, 1.408754
605.6254, 1.527966
606.1075, 1.599279
606.5896, 1.746241
607.0717, 2.123276
607.5538, 2.525646
608.0359, 2.682060
608.5181, 2.605865
609.0002, 2.545063
609.4823, 2.688650
609.9644, 2.984085
610.4465, 3.194387
610.9286, 3.230629
611.4108, 3.331593
611.8929, 3.475111
612.3750, 3.739651
612.8571, 4.264410
613.3392, 4.970921
613.8214, 5.599178
614.3035, 5.991453
614.7856, 6.244270
615.2677, 6.508209
615.7498, 6.776478
616.2319, 6.954912
616.7141, 7.013098
617.1962, 6.982037
617.6783, 6.914660
618.1604, 6.809641
618.6425, 6.529425
619.1246, 5.942410
619.6068, 5.314562
620.0889, 4.687637
620.5710, 4.124285
621.0531, 3.736609
621.5352, 3.543135
622.0173, 3.416988
622.4995, 3.216806
622.9816, 2.942570
623.4637, 2.666119
623.9458, 2.319563
624.4279, 2.084463
624.9100, 2.080338
625.3922, 2.164089
625.8743, 2.201767
626.3564, 2.173761
626.8385, 2.128820
627.3206, 2.099537
627.8027, 2.071800
628.2849, 2.018301
628.7670, 1.940056
629.2491, 1.856489
629.7312, 1.772902
630.2133, 1.698309
630.6954, 1.649309
631.1776, 1.624437
631.6597, 1.635710
632.1418, 1.758472
632.6239, 1.843681
633.1060, 1.788355
633.5881, 1.641813
634.0703, 1.487381
634.5524, 1.360676
635.0345, 1.276884
635.5166, 1.257427
635.9987, 1.302837
636.4808, 1.414825
636.9630, 1.674236
637.4451, 1.853363
637.9272, 1.738474
638.4093, 1.491276
638.8914, 1.337526
639.3735, 1.306824
639.8557, 1.358564
640.3378, 1.500210
640.8199, 1.697523
641.3020, 1.906366
641.7841, 2.124020
642.2662, 2.376862
642.7484, 2.689651
643.2305, 3.023682
643.7126, 3.269152
644.1947, 3.421967
644.6768, 3.487686
645.1589, 3.394011
645.6411, 3.293978
646.1232, 3.270683
646.6053, 3.300989
647.0874, 3.340702
647.5695, 3.386225
648.0516, 3.368319
648.5338, 3.177982
649.0159, 2.838293
649.4980, 2.480486
649.9801, 2.104784
650.4622, 1.741907
650.9443, 1.384233
651.4265, 1.063892
651.9086, 0.9126570
652.3907, 1.096678
652.8728, 1.174356
653.3549, 0.9804800
653.8370, 0.6789110
654.3192, 0.3968450
654.8013, 0.1632900
655.2834, 2.3468001E-02
655.7655, 0.1739440
656.2476, 0.2708360
656.7297, 0.2412760
657.2119, 4.1919999E-02
657.6940, 8.4053002E-02
658.1761, 5.4403000E-02
658.6582, 4.2299999E-04
