##NAMES=Atelestite
##RRUFFID=R080139
##IDEAL CHEMISTRY=Bi^3+^_2_O(As^5+^O_4_)(OH)
##LOCALITY=Daniel mine, Schneeberg, Saxony, Germany
##OWNER=RRUFF
##SOURCE=William W. Pinch
##DESCRIPTION=Small sharp tan to cream colored crystals, associated with dark brown eulytine
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R080139
639.6566, 408.8853
640.1387, 409.7036
640.6208, 397.4019
641.1029, 383.7021
641.5850, 385.6172
642.0671, 396.4536
642.5493, 402.4561
643.0314, 395.0391
643.5135, 384.3301
643.9956, 373.9893
644.4777, 364.4097
644.9598, 356.6499
645.4420, 353.5220
645.9241, 350.7588
646.4062, 345.9199
646.8883, 338.9565
647.3704, 335.0933
647.8525, 333.6606
648.3347, 335.0869
648.8168, 343.0498
649.2989, 357.6885
649.7810, 359.6069
650.2631, 347.1621
650.7452, 336.6851
651.2274, 348.6489
651.7095, 372.0342
652.1916, 385.5151
652.6737, 383.6079
653.1558, 379.8042
653.6379, 385.0308
654.1201, 393.2861
654.6022, 396.1689
655.0843, 383.0928
655.5664, 373.1650
656.0485, 374.6816
656.5306, 383.9697
657.0128, 391.8369
657.4949, 399.0698
657.9770, 401.7178
658.4591, 397.5312
658.9412, 389.2993
659.4233, 390.5220
659.9055, 401.3232
660.3876, 409.6113
660.8697, 404.9731
661.3518, 394.0669
661.8339, 395.6030
662.3160, 408.7246
662.7982, 419.0396
663.2803, 410.6094
663.7624, 397.6777
664.2445, 396.0093
664.7266, 409.2539
665.2087, 422.9009
665.6909, 431.5698
666.1730, 437.2935
666.6551, 441.8374
667.1372, 446.7368
667.6193, 447.6519
668.1014, 441.6890
668.5836, 434.6436
669.0657, 436.7402
669.5478, 449.2817
670.0299, 454.5308
670.5120, 446.9941
670.9941, 434.0664
671.4763, 430.3535
671.9584, 433.1792
672.4405, 432.0835
672.9226, 414.4297
673.4047, 397.3892
673.8868, 399.9019
674.3690, 416.7764
