##NAMES=Lorandite
##RRUFFID=R060961
##IDEAL CHEMISTRY=TlAsS_2_
##LOCALITY=Allchar, Macedonia
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Deep red prisms or tabular crystals, associated with prismatic realgar.
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R060961
650.6187, 24.89832
651.1008, 33.95258
651.5829, 24.21625
652.0651, 5.300903
652.5472, 4.900024
653.0293, 7.606262
653.5114, 21.49561
653.9935, 26.60388
654.4756, 24.91327
654.9578, 21.65204
655.4399, 14.72321
655.9220, 9.818115
656.4041, 9.784912
656.8862, 14.16980
657.3683, 13.61383
657.8505, 5.764221
658.3326, 1.311340
658.8147, 1.471558
659.2968, 4.632141
659.7789, 6.260986
660.2610, 2.863892
660.7432, 1.824707
661.2253, 5.625427
661.7074, 7.773743
662.1895, 6.096375
662.6716, 1.329529
663.1537, 8.261475
663.6359, 10.48334
664.1180, 9.630737
664.6001, 8.016174
665.0822, 3.909546
665.5643, 1.786255
666.0464, 4.826721
666.5286, 10.53040
667.0107, 11.37653
667.4928, 4.189819
667.9749, 0.8577270
668.4570, 1.072571
668.9391, 8.278076
669.4213, 8.971863
669.9034, 2.888672
670.3855, 3.890747
670.8676, 7.634888
671.3497, 8.937866
671.8318, 8.134155
672.3140, 5.129761
672.7961, 3.174744
673.2782, 7.231262
673.7603, 12.07013
674.2424, 12.19183
674.7245, 3.583618
675.2067, 3.913879
675.6888, 8.637695
676.1709, 10.92035
676.6530, 11.13434
677.1351, 8.568481
677.6172, 5.025879
678.0994, 0.9361570
678.5815, 6.375610
679.0636, 1.664673
679.5457, 13.40417
680.0278, 24.05658
680.5099, 21.50616
680.9921, 12.70020
681.4742, 10.94891
681.9563, 14.92126
682.4384, 17.41656
682.9205, 12.71838
683.4026, 5.862732
683.8848, 0.6945800
684.3669, 7.005981
684.8490, 8.394714
685.3311, 1.802795
685.8132, 12.99274
686.2953, 18.62482
686.7775, 16.73383
