##NAMES=Triphylite
##RRUFFID=R050624
##IDEAL CHEMISTRY=LiFe^2+^PO_4_
##LOCALITY=Minas Gerais, Brazil
##OWNER=RRUFF
##SOURCE=Gemological Center
##DESCRIPTION=Brown fragment
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R050624
##MEASURED CHEMISTRY=Li_1.00_(Fe^2+^_0.55_Mn^2+^_0.45_)_Σ=1_P_1.00_O_4_ ; Li not measured, but estimated by difference
578.0537, 769.0559
578.5358, 737.5646
579.0179, 704.7056
579.5001, 672.6996
579.9822, 641.4430
580.4643, 613.6698
580.9464, 589.3722
581.4285, 569.6682
581.9106, 555.8207
582.3928, 547.0295
582.8749, 541.0620
583.3570, 537.6705
583.8391, 536.8019
584.3212, 538.0637
584.8033, 541.8951
585.2855, 549.0398
585.7676, 561.4608
586.2497, 575.3159
586.7318, 589.9334
587.2139, 604.6473
587.6960, 617.5958
588.1782, 630.1133
588.6603, 639.2937
589.1424, 644.1325
589.6245, 644.6986
590.1066, 640.5656
590.5887, 631.8965
591.0709, 618.2241
591.5530, 598.2114
592.0351, 570.9070
592.5172, 543.9142
592.9993, 517.7655
593.4814, 491.4457
593.9636, 463.4460
594.4457, 434.0099
594.9278, 403.5008
595.4099, 371.5352
595.8920, 339.4078
596.3741, 308.1718
596.8563, 278.2857
597.3384, 251.1909
597.8205, 228.7585
598.3026, 208.6458
598.7847, 189.7112
599.2668, 171.8971
599.7490, 155.8918
600.2311, 143.5564
600.7132, 131.7479
601.1953, 118.2366
601.6774, 101.0836
602.1595, 88.14960
602.6417, 80.40533
603.1238, 75.45850
603.6059, 71.51910
604.0880, 68.74744
604.5701, 65.74762
605.0522, 62.16705
605.5344, 58.69250
606.0165, 56.96454
606.4986, 56.65271
606.9807, 55.59845
607.4628, 51.96680
607.9449, 48.20087
608.4271, 48.11786
608.9092, 51.05157
609.3913, 54.37775
609.8735, 56.61133
610.3556, 58.75323
610.8377, 61.22424
611.3198, 64.03638
611.8019, 68.06549
612.2841, 73.36035
612.7662, 80.07941
613.2483, 88.69312
613.7304, 100.4250
614.2125, 110.6826
614.6946, 118.7938
615.1768, 126.2487
615.6589, 134.8195
616.1410, 144.6869
616.6231, 154.8438
617.1052, 165.0471
617.5873, 175.6201
618.0695, 186.4410
618.5516, 197.7704
619.0337, 210.8918
619.5158, 226.0750
619.9979, 243.6370
620.4800, 264.3896
620.9622, 288.0575
621.4443, 312.3663
621.9264, 336.8857
622.4085, 360.9508
622.8906, 384.0446
623.3727, 405.5925
623.8549, 429.5917
624.3370, 460.6785
624.8191, 491.3654
625.3012, 516.8874
625.7833, 537.8176
626.2654, 553.0739
626.7476, 563.4668
627.2297, 566.9474
627.7118, 560.1014
628.1939, 542.8373
628.6760, 519.3929
629.1581, 489.9943
629.6403, 456.0747
630.1224, 417.1412
630.6045, 374.8163
631.0866, 334.8654
631.5687, 300.0708
632.0508, 268.5992
632.5330, 238.8002
633.0151, 211.1365
633.4972, 187.4077
633.9793, 169.4211
634.4614, 154.7228
634.9435, 142.5306
635.4257, 133.4051
635.9078, 124.0168
636.3899, 112.4953
636.8720, 102.4415
637.3541, 96.90112
637.8362, 96.81934
638.3184, 96.72620
