##NAMES=Philipsbornite
##RRUFFID=R070065
##IDEAL CHEMISTRY=Pb^2+^Al_3_(As^5+^O_4_)(As^5+^O_3_OH)(OH)_6_
##LOCALITY=Hat Yai Province, Thailand
##OWNER=RRUFF
##SOURCE=Bob Jenkins
##DESCRIPTION=Colorless pyramidal crystals, associated with yellow mimetite
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R070065
563.3554, 27.94629
563.8375, 18.12744
564.3196, 7.261475
564.8018, 1.557129
565.2839, 8.373779
565.7660, 12.29321
566.2481, 10.74976
566.7302, 7.609863
567.2123, 16.76416
567.6945, 37.94141
568.1766, 58.79639
568.6587, 72.06079
569.1408, 79.50684
569.6229, 84.23682
570.1050, 86.36206
570.5872, 87.11963
571.0693, 85.62427
571.5514, 83.98853
572.0335, 84.99146
572.5156, 91.77100
572.9977, 98.09424
573.4799, 98.81641
573.9620, 97.45166
574.4441, 102.3916
574.9262, 129.3025
575.4083, 147.6807
575.8904, 146.1882
576.3726, 124.1963
576.8547, 109.2917
577.3368, 100.3994
577.8189, 100.4839
578.3010, 116.3271
578.7831, 149.7759
579.2653, 168.3826
579.7474, 166.0708
580.2295, 158.8037
580.7116, 173.0996
581.1937, 203.7048
581.6758, 226.0146
582.1580, 229.6025
582.6401, 222.4517
583.1222, 210.4402
583.6043, 195.0032
584.0864, 182.4185
584.5685, 178.0068
585.0507, 176.4980
585.5328, 172.5396
586.0149, 164.2249
586.4970, 164.4636
586.9791, 186.4666
587.4612, 212.7605
587.9434, 228.8232
588.4255, 230.4878
588.9076, 227.5417
589.3897, 216.6152
589.8718, 203.3970
590.3539, 200.0129
590.8361, 208.4739
591.3182, 218.5408
591.8003, 229.3367
592.2824, 238.6836
592.7645, 234.6636
593.2466, 217.3538
593.7288, 201.2190
594.2109, 195.5535
594.6930, 198.6189
595.1751, 211.3350
595.6572, 235.8889
596.1393, 252.8716
596.6215, 235.2302
597.1036, 206.0254
597.5857, 193.0459
598.0677, 220.9219
598.5499, 246.8606
599.0320, 261.0012
599.5141, 264.1338
599.9962, 258.1565
600.4783, 229.8296
600.9604, 209.4600
601.4426, 207.3157
601.9247, 222.9993
602.4068, 233.2744
602.8889, 237.9504
603.3710, 238.0571
603.8531, 231.8066
604.3353, 219.6646
604.8174, 214.2170
605.2995, 217.3633
605.7816, 221.9744
606.2637, 215.8171
606.7458, 203.8499
607.2280, 200.1890
607.7101, 216.9126
608.1922, 231.7317
608.6743, 220.9482
609.1564, 194.6455
609.6385, 179.3328
610.1207, 191.3218
610.6028, 206.8455
611.0849, 214.8337
611.5670, 215.7947
612.0491, 221.4998
612.5313, 237.9990
613.0134, 253.4065
613.4955, 260.5615
613.9776, 257.2817
614.4597, 253.1899
614.9418, 247.9399
615.4240, 242.6338
615.9061, 238.4226
616.3882, 235.3521
616.8703, 233.6633
617.3524, 234.5930
617.8345, 236.1565
618.3167, 234.6553
618.7988, 230.9009
619.2809, 228.0505
619.7630, 230.3799
620.2451, 233.0417
620.7272, 231.3911
621.2094, 225.7500
621.6915, 222.4490
622.1736, 227.8794
622.6557, 232.1038
623.1378, 227.8574
623.6199, 205.6257
624.1021, 196.7698
624.5842, 210.1658
625.0663, 228.8599
625.5484, 231.1243
626.0305, 212.2527
626.5126, 200.1384
626.9948, 200.7051
627.4769, 208.9587
627.9590, 214.8208
628.4411, 218.6523
628.9232, 223.1631
629.4053, 232.1079
629.8875, 241.0635
630.3696, 242.0955
630.8517, 236.4980
631.3338, 233.3662
631.8159, 241.2339
632.2980, 251.1506
632.7802, 256.2192
633.2623, 253.8765
633.7444, 252.1448
634.2265, 257.7122
634.7086, 261.6228
635.1907, 254.5828
635.6729, 224.6882
636.1550, 212.1050
636.6371, 226.1023
637.1192, 252.0586
637.6013, 259.9006
638.0834, 248.6345
638.5656, 244.4016
639.0477, 261.5129
639.5298, 286.8154
640.0119, 290.5088
640.4940, 275.8120
640.9761, 262.2439
641.4583, 264.6797
641.9404, 272.3870
642.4225, 275.5762
642.9046, 273.3323
643.3867, 270.2275
643.8688, 262.3413
644.3510, 257.9055
644.8331, 263.8401
645.3152, 294.4358
645.7973, 311.7356
646.2794, 309.8586
646.7615, 299.2915
647.2437, 293.2742
647.7258, 293.0906
648.2079, 291.7322
648.6900, 288.2407
649.1721, 282.3477
649.6542, 271.8198
650.1363, 257.4492
650.6184, 244.7712
651.1005, 238.3374
651.5826, 233.7969
652.0648, 225.4346
652.5469, 213.9900
653.0290, 203.1946
653.5111, 192.4321
653.9932, 184.6072
654.4753, 183.3394
654.9575, 191.8945
655.4396, 195.1733
655.9217, 189.1555
656.4038, 178.5059
656.8859, 166.3254
657.3680, 153.1125
657.8502, 136.3220
658.3323, 113.4958
658.8144, 90.64771
659.2965, 78.90015
659.7786, 77.25903
660.2607, 71.11377
660.7429, 52.48120
661.2250, 32.68604
