##NAMES=Palermoite
##RRUFFID=R130090
##IDEAL CHEMISTRY=Li_2_SrAl_4_(PO_4_)_4_(OH)_4_
##LOCALITY=Palermo Mine, N. Groton, New Hampshire, USA
##OWNER=RRUFF
##SOURCE=William W. Pinch and Don Doell
##DESCRIPTION=Colorless prismatic crystal, associated with quartz
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R130090
762.3965, 1.258881
762.8787, 1.907471
763.3608, 2.562134
763.8429, 2.835968
764.3250, 1.988800
764.8071, 1.067139
765.2892, 0.8923030
765.7714, 1.659851
766.2535, 2.100739
766.7356, 1.990479
767.2177, 1.750153
767.6998, 1.583221
768.1819, 1.490234
768.6641, 1.554688
769.1462, 1.808838
769.6283, 1.981781
770.1104, 1.690979
770.5925, 1.205444
771.0746, 1.109894
771.5568, 1.471313
772.0389, 1.727722
772.5210, 1.522400
773.0031, 1.151703
773.4852, 0.7059630
773.9673, 6.6223003E-02
774.4495, 1.2695000E-02
774.9316, 1.192932
775.4137, 2.852020
775.8958, 4.609375
