##NAMES=Waylandite
##RRUFFID=R130361
##IDEAL CHEMISTRY=BiAl_3_(PO_4_)_2_(OH)_6_
##LOCALITY=Ngussa, Kivu, Zaire
##OWNER=RRUFF
##SOURCE=Rock Currier
##DESCRIPTION=Colorless to pale brown crystals, associated with prismatic dark brown or bluish fluor-dravite
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R130361
586.3331, 3.721863
586.8152, 4.141113
587.2973, 4.734772
587.7794, 4.857178
588.2615, 4.437164
588.7437, 4.014191
589.2258, 3.660522
589.7079, 3.408752
590.1900, 3.337128
590.6721, 3.414948
591.1542, 3.429321
591.6364, 3.313721
592.1185, 3.113983
592.6006, 2.864014
593.0827, 2.568268
593.5648, 2.144775
594.0469, 1.542084
594.5291, 1.102417
595.0112, 1.371948
595.4933, 2.621124
595.9754, 3.371887
596.4575, 3.451904
596.9396, 3.311249
597.4218, 2.847504
597.9039, 2.357300
598.3860, 2.278046
598.8681, 2.750549
599.3502, 3.422028
599.8323, 3.874420
600.3145, 4.115234
600.7966, 4.394592
601.2787, 4.811859
601.7608, 5.066284
602.2429, 4.741058
602.7250, 4.210754
603.2072, 4.059296
603.6893, 4.403107
604.1714, 4.940460
604.6535, 5.926208
605.1356, 6.927185
605.6177, 7.077240
606.0999, 6.348022
606.5820, 5.426300
607.0641, 4.741364
607.5462, 4.338593
608.0283, 4.429688
608.5104, 5.657959
608.9926, 6.445801
609.4747, 6.555695
609.9568, 6.376587
610.4389, 6.060516
610.9210, 5.693115
611.4031, 5.444244
611.8853, 5.517944
612.3674, 5.673584
612.8495, 5.152069
613.3316, 3.815582
613.8137, 3.235138
614.2958, 4.297119
614.7780, 5.585846
615.2601, 5.434601
615.7422, 4.107422
616.2243, 3.214355
616.7064, 3.594879
617.1885, 4.091644
617.6707, 3.741882
618.1528, 2.937836
618.6349, 2.620026
619.1170, 3.056885
619.5991, 3.704987
620.0812, 3.920197
620.5634, 3.677673
621.0455, 3.500702
621.5276, 3.020477
622.0097, 2.994476
622.4918, 4.202911
622.9739, 5.641541
623.4561, 6.220734
623.9382, 5.804108
624.4203, 5.045410
624.9023, 4.306274
625.3845, 3.602753
625.8666, 2.870056
626.3487, 2.063416
626.8308, 1.824615
627.3129, 2.750671
627.7950, 4.131653
628.2772, 4.508057
628.7593, 3.658173
629.2414, 3.045349
629.7235, 3.159210
630.2056, 3.437744
630.6877, 3.342896
631.1699, 2.989960
631.6520, 2.791748
632.1341, 2.900726
632.6162, 3.179810
633.0983, 3.321381
633.5804, 3.253967
634.0626, 3.127289
634.5447, 2.825165
635.0268, 2.625763
635.5089, 2.589111
635.9910, 2.736542
636.4731, 3.215302
636.9553, 4.189148
637.4374, 4.912781
637.9195, 4.632080
638.4016, 3.792419
638.8837, 3.270020
639.3658, 3.159424
639.8480, 2.984467
640.3301, 2.419525
640.8122, 1.632935
641.2943, 1.099731
641.7764, 0.7815250
642.2585, 0.7033080
642.7407, 0.7998960
