##NAMES=Slavikite
##RRUFFID=R080048
##IDEAL CHEMISTRY=(H_3_O^+^)_3_Mg_6_Fe_15_(SO_4_)_21_(OH)_18_&#183;98H_2_O
##LOCALITY=Mandat, Bohmen, Czech Republic
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Mustard yellow, massive efflorescence
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R080048
617.1461, 13.76558
617.6282, 15.22630
618.1103, 16.63960
618.5924, 17.11418
619.0745, 17.05217
619.5566, 17.21213
620.0388, 17.87636
620.5209, 18.60210
621.0030, 18.94864
621.4851, 19.07437
621.9672, 19.47655
622.4493, 20.25597
622.9315, 20.89172
623.4136, 20.98030
623.8957, 20.56789
624.3778, 19.99437
624.8599, 19.17625
625.3420, 18.32881
625.8242, 17.59296
626.3063, 16.75404
626.7884, 15.56297
627.2705, 14.05772
627.7526, 12.52780
628.2347, 11.14360
628.7169, 9.965607
629.1990, 9.209854
629.6811, 8.985580
630.1632, 8.691360
630.6453, 8.198303
631.1274, 7.601013
631.6096, 6.916245
632.0917, 6.187622
632.5738, 5.581161
633.0559, 5.189896
633.5380, 4.926086
634.0201, 4.735657
634.5023, 4.581985
634.9844, 4.427734
635.4665, 4.285187
635.9486, 4.199020
636.4307, 4.197556
636.9128, 4.253799
637.3950, 4.124023
637.8771, 3.587418
638.3592, 3.130508
638.8413, 2.717148
639.3234, 2.488312
639.8055, 2.757813
640.2877, 3.445526
640.7698, 3.912018
641.2519, 3.571136
641.7340, 2.698700
642.2161, 1.901093
642.6982, 1.155029
643.1804, 0.8247220
643.6625, 1.227829
644.1446, 1.854675
644.6267, 1.985916
645.1088, 1.631134
645.5909, 1.324265
646.0731, 1.167068
646.5552, 1.042007
647.0373, 0.8513790
647.5194, 0.6518710
648.0015, 0.5773930
648.4836, 0.6754610
648.9658, 0.8204800
649.4479, 0.8112950
649.9300, 0.6465000
650.4121, 0.5845030
650.8942, 0.7327270
651.3763, 0.8015290
651.8585, 0.6245880
652.3406, 0.3743590
652.8227, 0.1551060
653.3048, 1.2909000E-02
653.7869, 3.0929999E-02
654.2690, 0.6212770
654.7512, 1.334854
655.2333, 1.525970
655.7154, 1.244690
656.1975, 0.9928280
656.6796, 0.9792940
657.1617, 1.101624
657.6439, 1.167328
658.1260, 1.149780
658.6081, 1.029495
659.0902, 0.6664280
659.5723, 0.3827360
660.0544, 0.2793120
660.5366, 0.3278810
661.0187, 0.5407260
661.5008, 0.8989410
661.9829, 1.209824
662.4650, 1.245895
662.9471, 1.072433
663.4293, 0.9367370
663.9114, 0.8323820
664.3935, 0.8388670
664.8756, 1.005051
665.3577, 1.287537
665.8398, 1.718994
666.3220, 2.395279
666.8041, 2.598145
667.2862, 1.742279
667.7683, 0.8292390
668.2504, 0.4446410
668.7325, 0.4993440
669.2147, 0.8082890
669.6968, 1.273071
670.1789, 1.719421
670.6610, 1.914780
671.1431, 1.854477
671.6252, 1.720154
672.1074, 1.458572
672.5895, 1.220108
673.0716, 1.032288
673.5537, 0.9166870
674.0358, 0.9258420
674.5179, 1.067917
675.0001, 1.182449
675.4822, 1.257797
675.9643, 1.253738
676.4464, 0.9963840
676.9285, 0.5357360
677.4106, 0.1833650
677.8928, 6.0759999E-02
678.3749, 5.9464000E-02
678.8570, 1.8555000E-02
679.3391, 6.9945998E-02
679.8212, 0.1379390
680.3033, 0.2275700
680.7855, 0.2388760
681.2676, 6.5871999E-02
681.7497, 0.1542360
682.2318, 0.2737580
682.7139, 0.2633510
683.1960, 0.1776430
683.6782, 4.9362000E-02
684.1603, 0.2798610
684.6424, 0.2197110
685.1245, 0.1177670
685.6066, 0.4767000
686.0887, 0.7488100
686.5709, 0.8815310
687.0530, 0.7558590
687.5351, 0.2962650
688.0172, 6.0120001E-03
688.4993, 1.6480000E-03
688.9814, 4.6356000E-02
689.4636, 7.7209003E-02
689.9457, 6.0454998E-02
690.4278, 8.6792000E-02
690.9099, 0.3511810
691.3920, 0.5174710
691.8741, 0.3103180
692.3563, 9.8709002E-02
692.8384, 0.1157680
693.3205, 0.2935180
