##NAMES=Magnesiotaaffeite-2N2S
##RRUFFID=X090001
##IDEAL CHEMISTRY=Mg_3_BeAl_8_O_16_
##LOCALITY=Ratnapura, Sri Lanka
##OWNER=Bill Pinch
##SOURCE=William W. Pinch
##DESCRIPTION=Dark grey with a hint of purple, flattened tabular hexagonal crystal
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/X090001
647.7707, 12.34068
648.2528, 12.79874
648.7349, 14.42574
649.2170, 16.15128
649.6992, 17.77461
650.1813, 19.29655
650.6634, 20.69121
651.1455, 21.97844
651.6276, 23.41388
652.1097, 25.36823
652.5919, 27.43898
653.0740, 29.06128
653.5561, 30.27812
654.0382, 31.57193
654.5203, 33.38188
655.0024, 35.20360
655.4846, 36.69902
655.9667, 37.75430
656.4488, 38.79166
656.9309, 39.44586
657.4130, 40.41606
657.8951, 42.24376
658.3773, 45.21153
658.8594, 48.25162
659.3415, 51.47061
659.8236, 54.49779
660.3057, 56.78526
660.7878, 58.35907
661.2700, 59.71379
661.7521, 60.93202
662.2342, 62.03479
662.7163, 63.18539
663.1984, 64.25919
663.6805, 64.96002
664.1627, 65.03094
664.6448, 64.79797
665.1269, 64.51627
665.6090, 64.10541
666.0911, 63.25882
666.5732, 61.66376
667.0554, 59.85867
667.5375, 58.07677
668.0196, 56.30515
668.5017, 54.06956
668.9838, 51.17050
669.4659, 48.24396
669.9481, 45.77847
670.4302, 43.73747
670.9123, 41.04289
671.3944, 37.61169
671.8765, 34.27632
672.3586, 31.86818
672.8408, 30.11240
673.3229, 28.52695
673.8050, 27.03499
674.2871, 25.70198
674.7692, 24.70583
675.2513, 23.84988
675.7335, 22.91197
676.2156, 21.76108
676.6977, 20.65947
677.1798, 20.03133
677.6619, 19.27202
678.1440, 17.27899
678.6262, 13.38629
679.1083, 10.57687
679.5904, 9.566940
680.0725, 9.707947
680.5546, 9.617737
681.0367, 9.384644
681.5189, 8.868683
682.0010, 7.504364
682.4831, 5.984818
682.9652, 5.499191
683.4473, 5.961960
683.9294, 6.826355
684.4116, 8.298004
684.8937, 9.627609
685.3758, 10.04924
685.8579, 9.402740
686.3400, 9.387894
686.8221, 10.91832
687.3043, 12.76614
687.7864, 14.29002
688.2685, 15.29059
688.7506, 17.14171
689.2327, 20.02608
689.7148, 23.40683
690.1970, 26.63336
690.6791, 29.76363
691.1612, 33.71524
691.6433, 38.77319
692.1254, 43.80731
692.6075, 47.06891
693.0897, 49.54227
693.5718, 52.88162
694.0539, 57.82123
694.5360, 63.27325
695.0181, 69.26506
695.5002, 75.29855
695.9824, 80.74396
