##NAMES=Zunyite
##RRUFFID=R050263
##IDEAL CHEMISTRY=Al_13_Si_5_O_20_(OH,F)_18_Cl
##LOCALITY=Ruby Mountain, Tintic District, Utah, USA
##OWNER=RRUFF
##SOURCE=Marcus Origlieri
##DESCRIPTION=Colorless tetrahedral crystals
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R050263
##MEASURED CHEMISTRY=Al_13.00_Si_5.00_O_20_((OH)_14.80_F_3.20_)_Σ=18_Cl_1.00_ ; gray phase. (Al_12.92_Fe^3+^_0.08_)_Σ=13_Si_5.00_O_20_((OH)_14.86_F_3.14_)_Σ=18_Cl_1.00_ rim, lighter phase
624.7980, 253.0923
625.2801, 245.5286
625.7622, 238.0693
626.2443, 231.0071
626.7264, 224.3303
627.2086, 216.7001
627.6907, 207.6925
628.1728, 198.6942
628.6549, 190.5457
629.1370, 183.2230
629.6191, 176.8892
630.1013, 171.6067
630.5834, 166.7128
631.0655, 161.7565
631.5476, 156.6237
632.0297, 151.1052
632.5118, 145.0458
632.9940, 138.8652
633.4761, 132.5782
633.9582, 126.4265
634.4403, 120.8604
634.9224, 117.0302
635.4045, 112.7588
635.8867, 106.7860
636.3688, 99.69543
636.8509, 94.41235
637.3330, 92.28125
637.8151, 89.56262
638.2972, 84.41223
638.7794, 77.07690
639.2615, 72.01404
639.7436, 69.42480
640.2257, 67.47375
640.7078, 64.90967
641.1899, 61.85718
641.6721, 58.69617
