##NAMES=Omphacite
##RRUFFID=R061129
##IDEAL CHEMISTRY=(Ca,Na)(Mg,Fe,Al)Si_2_O_6_
##LOCALITY=near Occidental, Sonoma County, California, USA
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Green granular massive associated with brown grossular and clinochlore
##STATUS=The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis.
##URL=rruff.info/R061129
##MEASURED CHEMISTRY=(Ca_0.51_Na_0.48_)_Σ=0.99_(Mg_0.44_Al_0.44_Fe^2+^_0.14_Fe^3+^_0.02_)_Σ=1.04_Si_2.00_O_6_ ; (darker phase) : (Mg_2.52_Al_0.32_Fe^2+^_2.13_Mn_0.03_)_Σ=5_Al_0.94_(Si_3.00_Al_1.17_)O_10_(OH)_8_ ( lighter, secondary phase = clinochlore)
592.7644, 751.2405
593.2465, 760.7842
593.7286, 766.8440
594.2108, 762.4844
594.6929, 756.9961
595.1750, 773.1694
595.6571, 820.4575
596.1392, 864.9963
596.6213, 876.0327
597.1035, 869.4045
597.5856, 868.0029
598.0677, 890.1897
598.5498, 907.7759
599.0319, 907.1729
599.5140, 893.0969
599.9962, 885.9800
600.4783, 896.5659
600.9604, 903.2239
601.4426, 897.0579
601.9247, 876.8218
602.4068, 862.5256
602.8889, 855.8821
603.3710, 851.6621
603.8531, 848.4365
604.3353, 845.6533
604.8174, 832.1826
605.2995, 805.7471
605.7816, 772.5613
606.2637, 736.2676
606.7458, 699.8062
607.2280, 669.3745
607.7101, 655.2244
608.1922, 640.5857
608.6743, 607.2671
609.1564, 560.9314
609.6385, 521.9302
610.1207, 507.5344
610.6028, 494.7405
611.0849, 471.1797
611.5670, 433.5134
612.0491, 401.2439
612.5313, 378.5974
613.0134, 358.2407
613.4955, 334.5752
613.9776, 304.5476
614.4597, 283.0942
614.9418, 274.0938
615.4240, 269.0991
615.9061, 256.2883
616.3882, 235.9097
616.8703, 210.9246
617.3524, 179.5051
617.8345, 147.0508
618.3167, 123.2712
618.7988, 107.0232
619.2809, 94.40259
619.7630, 88.23755
620.2451, 81.20312
620.7272, 64.53760
621.2094, 37.85474
621.6915, 17.72241
622.1736, 19.85620
622.6557, 24.00879
623.1378, 15.77002
623.6199, 17.54004
